,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0,-0.12793061,1.6629586,-0.37989473,0.58630127,0.73451996,0.5573107,-0.04469908,-0.10590262,-0.931111,0.57375073,0.19385779,-0.7973267,0.4667484,0.1965612,-1.1226327,1.7878337,0.3411242,-0.32764226,1.109742,0.76448506
1,-0.5840359,1.5139313,0.03955312,1.3631586,1.0095589,0.112968914,-0.25102752,-1.1578964,-0.108904876,-0.20422795,-0.024410298,0.30177757,-1.1101731,-1.1778973,-1.192213,1.122642,-0.15502279,-0.38580763,1.761731,0.48824805
2,-0.44049802,0.4600694,0.904778,0.76467335,1.0194451,-1.4095261,0.6048034,-0.2905956,0.0026642545,-0.78032565,0.6222775,1.0937053,-0.6541117,-1.4278191,0.3182231,0.21751726,-0.49091408,0.051189035,0.87778467,-0.63418037
3,1.425141,1.0850673,1.6707182,1.1231813,1.1528975,-2.8814833,0.007958675,-0.1690575,1.7389501,-0.55718386,1.3283823,0.4805775,0.085315384,-0.27329046,0.29368487,-0.13069874,-0.08919804,-1.4031717,2.062584,0.30810353
4,2.3625162,1.1035019,0.9578357,1.1099501,1.1109252,-1.7106808,-1.3397491,-0.25432813,1.6171422,-1.2326467,1.2483342,0.7347834,0.1402705,0.08722048,2.193755,0.3043544,0.4158679,-1.4398705,2.5583143,0.56159323
5,1.9390659,0.72413146,1.1342196,1.4620808,0.71329015,-1.7212521,-1.9164584,-1.4864947,1.9590286,-0.86562395,0.5859077,-0.40417966,-0.039323453,-0.8643989,0.16216172,0.047947343,-0.105626695,-0.51278394,0.29441366,1.2208104
6,1.3717334,0.09326582,1.5658054,0.76567465,0.62204933,-1.091944,-1.032559,-0.652329,1.4257528,-0.6477442,0.895667,-1.066591,0.35829672,0.19751957,-1.1963936,1.5764323,0.25111976,0.62986493,0.44900152,0.16907106
7,0.009916045,0.47178602,1.4216324,-0.31361508,0.40404865,-0.724736,0.015291205,-0.45497045,2.1121366,0.95952034,-0.30305696,1.1379385,1.6075513,-0.17688812,-1.202479,2.1708946,0.67899,0.41109473,0.11494358,0.61022204
8,1.3301151,0.7304757,0.8301578,-1.0928795,0.33514452,-0.9950701,-0.16204539,0.41933218,1.6666887,0.16250785,-1.1238332,0.11593326,-1.2006879,-0.45148608,0.59475356,0.5551156,1.2872679,1.000474,1.3826286,-0.086527504
9,1.3904724,-0.23209177,0.5143049,-0.62666225,0.19810072,-1.4412749,-0.33630592,0.37168223,1.0532591,0.24606644,0.8671615,-0.14900316,-1.7871473,-0.19215176,0.19392928,-0.6096471,1.23083,1.1710687,-1.3282498,-0.16205244
10,1.5698352,0.2950654,0.48439825,-1.5991908,0.007977705,-1.5028152,-0.5047986,-0.8651439,1.2435246,2.5924516,1.202827,0.2989042,-0.2572053,-0.48981822,0.38982102,0.11827936,0.66839343,1.3624676,-0.9479005,1.8479546
11,0.64640737,-0.30479014,0.19418004,-1.8983847,-0.08154493,0.5362612,-0.3430452,-0.22717962,0.52656895,2.1768506,1.8506434,-0.74774617,-0.026596311,1.4279557,0.3171567,0.62306994,0.053293884,0.034014326,-1.4400401,-0.24164714
12,0.5761312,-0.33010718,0.14832939,-0.064144865,-0.04943388,0.922693,-0.79394025,0.54914534,0.85749966,1.7764174,1.3275946,0.53501374,-0.7917015,0.82018036,-0.9776898,1.4757534,-0.36673617,-0.13454229,-0.18672161,-0.10640185
13,0.2850786,-0.52191556,0.43701062,-0.630713,-0.4182435,0.71696436,0.7788638,-0.43961212,0.080486566,1.385596,0.71160805,1.06273,0.6443251,1.7713474,-0.96580976,0.44117457,0.331315,0.59566563,-0.45414373,0.05343243
14,1.5612441,-0.6796092,0.47889826,-2.015861,-0.8090971,-0.38992974,-0.011079754,0.39798793,-0.03016746,1.1768005,-0.12628782,0.75173634,-0.58999383,1.6701431,-1.1937633,0.5519781,-0.7109459,1.6833017,-1.6597534,-0.2030756
15,1.137095,-0.80177206,-0.08884377,-0.8755147,-1.0996925,-0.9331537,0.2010442,0.52837545,-0.18773067,1.9956878,0.46544322,1.1090544,-0.8315899,1.7525957,-0.825806,0.36383277,-0.9380991,0.80015975,-1.1898341,0.22715665
16,-0.3559156,0.25376204,-0.3140819,-0.032150287,-1.5140216,0.8320432,-0.04140068,1.2568449,-0.37876117,1.4244437,0.2514614,1.9934614,-0.39003736,-0.016674405,0.49301136,0.7310126,-1.1411871,0.18248555,0.87217987,-0.4150201
17,-0.33866256,-0.88891006,-0.1462336,-0.15796626,-1.31757,0.9104011,0.12334729,1.8878084,-0.90259475,1.5110153,-1.9100207,1.4213839,-0.37246776,0.8714212,0.65480345,0.734552,-1.2732888,0.72619456,0.05751615,-0.41459918
18,-1.3700804,-2.2423074,-0.78420675,-0.18749534,-1.628895,0.894138,1.1125289,1.2715712,-0.0518402,1.6264454,-0.5042883,1.7308978,-0.87115747,0.6018759,0.60149175,0.50484353,-1.0508602,1.5651867,-0.29095957,-0.096705414
19,-1.0920786,-2.1765513,-0.6018531,0.4545106,-1.4508022,0.41009128,2.0354595,0.08195347,-1.4059426,0.058468755,-0.08198298,1.2389072,-0.81325305,-1.0990573,0.969531,0.47526482,-0.8543323,1.0133951,-1.6833652,-0.50717896
20,-1.89768,-1.599812,-1.01475,0.7167625,-1.3073082,0.47194365,0.6108935,0.4442107,-1.3872478,-1.3276209,-2.054507,0.3516096,-1.2438542,-0.5845479,-0.3836196,-0.6741285,-1.6441638,0.073398516,0.7386452,-1.147454
21,-0.118878774,-1.5449219,-0.6954555,0.7820462,-1.110214,0.062448885,-1.3618269,0.39054027,-0.8088723,-1.0029291,-0.6354732,-0.58895314,-0.047983676,0.17000958,1.8704045,-1.4323701,-1.0487787,-0.5196075,0.33536357,-0.19702293
22,-1.7468289,-1.2678967,-0.70728844,1.0039868,-0.7919575,0.23675138,0.3154618,0.45756227,-1.8084193,-1.011952,-0.4445199,-0.12346985,-0.20075226,-1.5388211,1.8797835,-0.81412065,-0.19075373,-2.2518077,0.36368558,0.073049605
23,-2.3034616,-0.6111041,-0.78294045,0.83611405,-0.09280014,0.27862635,1.5695957,-1.7759582,-2.2417479,-0.5474244,0.01777344,-0.6448383,2.7107925,0.50252116,-1.099969,0.5846764,-0.09505726,-1.8833936,0.6917836,0.5703063
24,-0.35244334,-1.1135547,-1.014498,1.4280124,-0.51786065,0.011765478,1.3615428,0.06503002,-1.1998757,-1.0580013,-0.10818829,-0.13734172,1.4285634,0.9165375,1.2026752,-1.0107393,-0.40100372,-1.8023069,0.6334466,-0.8185124
25,0.4323896,-0.8024711,-1.114173,2.258638,-0.43619186,0.42041305,0.4573179,-0.10779546,-0.9255205,-1.1738884,0.036376484,-0.74448955,-0.24903789,1.4366785,-0.7598461,-0.9291517,1.0675663,-1.4470476,-0.17560445,-1.7591267
26,0.2933441,-0.06327492,-0.55260116,0.0008395495,0.24701974,-0.7074799,-0.4437299,-1.5555403,-1.8757395,-0.64212936,-0.38095772,-0.10617644,-0.39863876,2.4639862,-0.08271851,-0.24830593,0.58958185,-0.5851212,-1.2657237,-0.43811285
27,0.28630695,0.9487554,-0.0136699695,0.7325534,0.074123316,0.75137806,0.0126691,-0.56938183,-1.6157929,-0.047262292,-0.3554746,0.4819328,0.28269148,1.0549393,-0.025643028,-0.14921142,1.516766,-1.1768439,0.60269016,0.2295692
28,-0.42338288,0.93214166,0.06739358,1.2174888,-0.22458495,1.1132765,1.5122344,-1.490318,-1.2815493,-0.32050264,-1.1134548,1.8755405,0.2978766,0.85725236,1.8214557,-1.2846866,3.3477378,-1.373164,0.6830738,-1.6504004
29,0.19011407,0.70973027,0.35749966,1.8310889,0.3608609,0.3456191,0.24621727,-0.80147445,-1.1721046,-1.3687415,-1.140532,0.8610483,0.3496693,0.19158697,0.843623,-1.4051678,2.7914057,-1.5343394,0.24719645,-0.39355445
30,0.6094106,-0.334082,-0.24701327,2.7222505,0.48726445,-1.1704216,-1.3573351,1.214544,-0.7679608,-0.8159673,-1.5286742,1.4029931,-0.072910994,-0.023605106,0.570879,-2.3072572,2.448318,-1.6869972,1.0405492,0.8059956
31,-0.3613472,-1.1724414,-0.74438465,1.5894312,1.3458205,-1.2605904,-0.61086845,0.54649734,-0.5672397,-1.3579171,-1.5506717,1.8847833,1.1783601,1.7048419,1.4895864,-2.1967525,1.4464724,-1.5187541,1.2644238,0.8569884
32,-0.46610427,-1.8902065,-1.1119142,0.3631682,1.2663152,0.65563184,-1.1496558,-1.1223598,-0.328777,-0.370802,-0.1452062,2.5783217,1.2909954,3.401671,-0.0023114989,-1.889531,-0.49783725,-1.4736528,-0.28863627,0.24953201
33,-0.7664151,-2.374568,-0.5839559,0.49669468,1.2161684,0.54371905,-1.1136719,0.5253002,-0.89004916,-0.2355116,-1.0290035,1.7801648,2.4169662,2.0169876,0.056139488,-1.2888209,-1.578118,-1.4167194,-0.14142478,1.9031488
34,-0.49982107,-2.0071461,-1.0756534,-0.13219632,1.6582371,0.17855988,0.08643946,0.23405394,-0.77494824,-0.016346596,-1.2005275,0.17902848,1.0783836,1.7716616,-0.73043483,-2.0400133,-0.19382267,-1.5002564,-2.1510944,1.2109196
35,0.44135082,-1.4306304,-1.282682,0.107506216,2.00644,-0.38918144,0.32955328,0.5903539,-1.5689245,0.27585623,-2.0105252,-0.69367874,0.46075448,0.9198197,-1.1941453,-0.95284414,-0.51168555,-0.9367145,-1.091759,1.3964247
36,-0.62055206,-0.3557107,-1.4272535,-0.3984702,1.6145624,1.0361484,-0.27187407,1.3828124,-0.87441987,-0.5039248,-1.9865509,2.118335,0.25446355,3.6986396,-0.11260755,-1.0029238,-1.6671325,-0.5614854,-0.6791471,0.54437363
37,-0.18514888,1.3774325,-1.464928,-0.8849665,0.48310667,0.06964271,0.2584076,0.5892597,-2.0162344,-0.2156263,-1.2132063,1.2341734,-0.45586938,1.1625091,-0.32099494,-0.608224,-1.5347406,-0.95451725,-1.0501677,-1.4169153
