,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0,0.8711772,1.6042495,-0.010350547,-0.42214704,2.4218059,0.5751018,-0.71063787,-1.0832562,-3.9195364,-0.5144055,0.91294426,1.71566,-3.9251266,0.006859498,-0.09636317,-0.6832026,-1.3595538,3.2583337,0.5904778,-0.63684565,0.85056496,1.1108812,1.2585604,5.072497,2.4673374,2.8968208,-1.6134841,-1.8060336,-0.17571086,2.629789,-0.4861354,0.02269347,-3.108697,0.0026266533,-1.9606161,-2.548765,-0.4954657,-2.350438,-1.6931883,0.51501906,0.50319225,-4.21111,2.0900664,-2.43377,1.0202094,-1.9901524,1.5899397,0.6757061,-2.11634,-2.5850115
1,-0.31921166,0.5011445,-0.8455946,-1.4045547,0.9746511,-0.023022972,-1.6894281,-0.20686522,-3.8454475,2.3665721,1.5810696,1.1810333,-2.3039176,-0.07923935,0.80525315,1.4636652,-1.9606072,1.6542534,-0.9658798,-1.9019318,1.8759505,0.23856467,2.1213436,5.465953,2.5291266,1.9414923,-1.937807,-0.7471783,-1.372668,2.8593109,-0.11191784,0.5478204,-1.6994132,0.042728353,-0.79554075,-1.2646048,-0.73818505,-2.474496,-2.36505,0.7680422,-0.6542674,-3.091318,1.2454965,-1.9819963,2.423121,-0.8999842,-0.20583713,0.6708528,-0.08203873,-2.0092702
2,1.1432515,1.235515,-0.20915683,-2.7615552,2.0716548,-0.4214671,-1.5245633,-0.879762,-5.9088273,1.5594057,1.5372385,2.303996,0.32178205,0.48841044,1.0639806,1.300823,-0.7891106,1.5177433,-0.68133384,-1.613778,2.1331794,-2.624283,2.1863248,4.012065,2.0305016,0.91475946,-2.8754208,1.0662366,-2.6322024,4.243843,-0.18852781,-0.7215534,-1.5523982,1.1991755,1.0340942,0.35530856,-0.4251702,0.25180814,-1.7014972,-0.14063442,-1.5522314,-4.4178343,2.3928595,-2.797189,5.5883408,-0.8944295,-2.6756887,0.9686772,0.91398007,0.9164135
3,1.9350959,-0.22452666,0.6443964,-0.70810646,0.4483157,1.0696965,-0.9430408,-1.409799,-4.2051687,1.7000341,-0.067958355,2.981255,-0.19442825,1.1282899,-0.80794984,-0.2423653,1.4611231,1.5872972,-0.56129867,-4.0701,2.9045806,-1.1926177,2.2237582,3.4167671,2.4363284,1.8896519,-2.0642707,-0.42981717,-3.3307343,2.1531026,-0.028247569,-2.9427319,-2.2794874,0.84744173,0.38390237,1.575869,-0.55047387,-0.3632603,-2.0717885,-0.003887637,-1.5601255,-2.2079651,2.7713099,-3.3128114,4.9893355,-1.5757654,-2.4477267,3.8155186,-0.97087705,0.95404226
4,0.12694144,0.27133965,1.2410084,0.17518888,0.37375003,0.6546814,-1.035007,0.69233423,-3.7644827,0.48321453,0.8123099,1.4270768,-1.7803618,2.8645551,1.168922,-1.2802203,0.9105002,1.1009645,-0.0038392083,-3.135284,2.3348188,-1.3284264,3.0404263,2.0303254,-0.33189666,3.1297965,-1.9201648,-3.0447726,-1.8258326,1.5403024,-0.8344831,-1.8602684,-2.3171487,-0.088096075,-1.5936979,1.5983247,-0.2452016,1.796922,-2.1708863,1.8705754,-0.5848117,-0.71015745,4.0835757,-2.2268784,6.4475427,-1.042454,-2.4178727,2.7965605,-2.1375833,0.8315815
5,0.31610715,-0.16987766,-0.057371598,-0.46088943,-0.97226036,0.29841658,-1.7156609,2.061895,-1.5921516,2.4926255,0.66192895,1.1088778,-0.48203355,4.0143666,1.2611824,-1.044822,-1.0565971,-0.06556308,-0.22474642,-2.7240808,-0.28675783,-0.89932066,0.9761421,3.1779294,-1.0190061,0.34879294,-1.443246,-2.2817714,-1.1644762,2.4104795,-2.524716,-2.9535356,-3.4875948,-1.1848735,-0.1513799,2.2007403,-0.46165326,4.019205,0.09232811,-0.9980332,-0.7566648,-2.0014923,3.8789668,-1.957936,3.2375193,0.926342,-2.75746,3.7131214,0.11912548,-3.2713692
6,0.8407556,0.29076597,-0.21814008,-0.4280394,1.169685,-2.217486,-0.3025063,1.2049923,-1.9367795,2.6222405,0.31591788,2.0624225,0.147596,4.7862806,-0.72176236,-0.14915192,-0.3558654,1.3053857,-0.33557495,-2.5781229,0.85569334,-1.7548752,-0.36956218,1.7565088,-1.9337336,0.6701282,0.44147408,-0.88838613,-1.4801552,1.3513644,-2.8102512,-3.7822144,-2.513053,-0.19655429,-1.3547894,4.3798857,0.43121445,4.9162865,1.7396141,0.53511995,0.2732576,-1.5147395,3.409001,0.74310774,3.5330496,1.9370528,-3.5621388,0.6562431,-0.06334751,-1.1466767
7,0.46046627,1.7204217,1.6014421,0.29662022,-0.82914907,-1.8587198,-1.3695085,1.261337,-0.6238073,1.3443056,-0.06351257,1.9854457,0.4096436,3.5889647,0.74081635,-0.59056365,-1.241723,2.0452352,-1.0052794,-1.4099177,1.3721896,-1.3545995,2.2671688,1.6941915,-0.7468404,-0.41020507,-1.5527697,-0.5782847,-3.6251187,2.4533987,-2.0543237,-2.083952,-3.8319726,-1.1760782,0.13523991,4.8931384,0.9537046,4.467944,0.2583933,1.264973,0.315963,-3.399275,3.9575129,-0.2086843,0.52172315,1.66926,-3.606181,1.1290907,0.50628895,-0.4616329
8,-1.3507465,1.3069351,0.2899351,-0.13219193,-1.5756272,-1.3457241,-1.154002,0.6298691,-0.06795582,1.701247,-0.15761024,2.1615028,-0.65331393,4.85746,-0.48516846,0.016809778,-0.7539718,1.7725482,0.111904286,-0.7959349,1.9569777,-1.2199754,2.60505,3.1852098,-0.39316565,-1.1108855,-2.9380481,-0.4252203,-4.4079967,2.6903744,-1.7736831,-2.5778081,-3.1978693,-1.9824799,-0.30489686,0.94813246,0.3279228,4.326995,0.55069757,1.1582453,-0.62053615,-1.9222554,2.4780376,1.1629376,0.46596053,-0.4302031,-3.1306581,-1.229644,-0.37026682,0.39684775
9,-0.6511875,0.20034936,0.9864152,-1.0813692,-1.6632491,0.10545614,-1.6127652,-0.5827013,-0.19861417,2.6791625,-0.4702085,0.5820506,-1.3780804,4.6875334,0.7627948,-0.66312623,-0.29040888,1.2893538,3.3873832,-1.0639192,-0.24538003,-1.2764242,0.72621274,2.3712614,-1.0013044,-0.041799787,0.36930817,-0.41022626,-3.8331244,3.706343,-0.68193233,-2.1866653,-1.7297931,-1.0092032,1.3215065,0.7653592,1.0417747,5.0588384,1.8949753,1.3042251,0.6876919,-3.7290695,1.5406941,2.3620765,-0.12062375,1.4163846,-3.1264799,0.23587148,-0.5152121,1.5570666
