,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0,-0.016051985,-1.112236,0.20550881,-1.4922203,-1.3444998,1.9096746,-0.9008959,-3.0408506,-3.0750263,1.4315864,-3.3012123,0.30148005,-0.71394634,0.41272438,-0.69504523,0.067519575,-0.10549253,-0.57979554,-1.0721651,-2.0698924,-0.7540625,-1.4176956,-1.062446,-1.3812687,4.054098,-0.14988519,2.100105,-0.09278822,2.3647242,0.49093777,0.60622346,-1.7687913,1.6423068,0.05722794,0.6078999,0.55680954,4.4995074,1.6885337,-4.711852,0.3428049,-0.9050011,0.8942432,1.0607277,1.1357857,-2.3998926,-1.8907197,0.9826027,-2.4056025,1.356342,-4.037942
1,1.3156803,0.34068415,-1.313486,-1.9715832,-0.32049805,1.3505639,0.23969848,-2.874294,0.13324018,-0.9203281,-3.2468932,-0.7731822,-2.1846898,-1.20749,-2.6452403,0.8520365,-0.64464754,-3.1517491,-0.21673647,0.013841417,0.20538586,-0.36908334,0.34032968,-1.1857346,-0.13195252,-2.1714284,1.9748389,1.8480902,0.7507923,-0.19357891,-0.37781382,-2.8614016,1.5214368,-0.09619006,0.030114735,-0.6061966,1.7088671,2.804702,-2.7264166,-1.1808708,-1.2228922,-1.4360278,1.0050354,2.018671,0.25176877,-1.0209936,1.8973309,-0.41545913,1.5551561,-4.1309876
2,0.98905593,0.87113285,-2.9888263,-0.7362851,-0.056642395,1.1527054,-0.3224172,-2.3776608,2.4236624,-1.6627572,-0.67017204,-0.24316405,0.37972066,0.21013625,1.0696706,0.27557474,-0.352394,-2.4766774,-0.121709034,2.4475741,0.74307275,-1.806603,0.71477044,-1.432023,-2.5026772,-0.18175206,1.8392895,1.1426381,2.029023,-0.72331554,0.8881975,-1.9617641,1.1037055,1.5505925,2.1070075,-0.75990367,-2.7020688,1.002893,-1.8864208,0.34766597,-1.2576998,-2.3637476,0.68254215,2.280104,0.76152855,-2.2383416,0.45119795,-0.19009146,1.7049186,-4.8894334
3,2.0128157,-0.9760242,-0.6471484,0.12610388,-0.90028507,0.9080454,-0.81927854,-1.7076914,1.9340712,-0.28915796,-0.17062472,-0.82829094,0.09422981,1.9326451,1.2206073,-1.0129365,-0.20301847,0.0053259004,0.6284954,1.1241823,0.33228633,-1.3685949,0.24392428,-0.86233604,-1.7340745,0.42632896,-0.6375692,-0.9139123,3.4186676,0.63914156,0.29432428,-1.5966021,1.4495087,0.62605685,0.4531658,-1.4906361,-1.4535186,2.6480672,0.8750003,-1.1040632,-2.2260115,-2.5991485,-0.8985375,-0.2458664,0.74690944,-1.5979342,-1.6448137,-0.80004656,-1.135283,-6.200787
4,1.5913745,-1.5597644,-0.81713414,0.23574738,0.100634255,-2.3971212,-2.1152115,0.14597914,0.93855435,0.7507843,1.0171185,-0.9792083,-1.4265084,-0.4152906,1.3625867,0.3644944,-1.0205233,-0.5354687,0.5194172,0.0047024246,-0.48844457,-2.0964186,-2.0234299,-0.037000496,-1.7118669,-0.17369604,0.11312872,0.43442738,5.1578717,1.1375017,1.1236709,-1.3030472,0.78222084,1.2478665,1.066734,-0.746543,-2.3640797,3.0746126,0.06549048,1.6040955,-1.6324333,-1.468055,0.08524896,-0.10614398,-1.862693,-0.72642124,-2.0327199,-1.3639189,-2.5900328,-4.0759535
5,1.0529519,-1.7770189,-0.01962004,0.90628606,-2.174847,-2.086326,-0.031318024,1.3252965,-0.11623226,-0.7150755,1.6103755,0.5048198,0.08244502,2.8998795,1.766874,-0.22178777,0.049109086,1.4638606,-0.20397994,-0.011002319,-1.3756218,-1.6649332,-2.7475953,1.2364008,1.2928845,-0.541214,1.2238196,-0.397152,5.944697,-0.011131795,0.116109736,-1.6008657,-0.5562113,0.77207935,-0.041590128,0.117547914,-2.2765598,1.0033365,0.23710193,1.5266136,-1.7531229,-2.3042908,-0.99476033,0.057339024,-1.5456278,-2.480542,-2.2142327,-2.3181221,-1.0021983,-4.681462
6,-0.22217025,-2.3272502,-0.579848,0.62209094,1.0882399,-1.2198232,-0.62621194,1.3675855,0.06906614,-2.7189953,1.6449665,0.47184387,0.12888907,1.4251287,1.6303241,1.2146517,-0.31291327,1.0101782,-0.64032847,-0.92487407,-0.50115687,-0.37380686,-1.7904044,0.5180141,0.18732482,-1.9269282,0.41157794,-0.2051896,4.107847,0.17752631,-2.85439,0.3723745,-0.293056,1.230126,0.19724543,0.99909043,-2.7770526,-0.6072732,1.095649,2.3115597,-2.6944866,-2.5252156,-0.4497065,1.4967512,-1.4990432,-4.451586,-3.6370275,-1.7440773,-1.7034899,-4.1895976
7,1.5715379,-3.6483212,-0.4671346,-0.82504535,-1.2470063,-0.116717614,0.71507734,-0.47541508,0.9779342,-0.2692107,2.334016,0.4601597,-0.42081282,-1.293029,-0.04439808,0.6249162,1.2867639,1.9289112,-1.1307969,1.4596592,0.09382856,-0.16820024,-0.33329076,-1.7284266,0.604506,0.26921767,0.95588243,-1.4945911,2.1485581,-0.14663868,-2.5479047,0.388634,1.2293794,1.7616423,-1.6200179,1.586103,-1.5272508,-1.6401343,0.37514508,0.112057686,-2.807994,-2.9132683,-1.3738765,1.0909351,-1.1152779,-3.1531422,-1.7663002,-2.3175364,0.13658693,-5.6885757
8,2.7907343,-3.6508126,0.90274185,-1.9588416,-1.649829,0.58158714,0.7152153,3.050849,-0.9501133,-0.07808636,2.0510845,0.98337215,0.059590943,-2.3054993,0.63173634,0.9097907,0.42343333,1.5012684,-0.07087634,-0.03855373,0.89164525,0.64126384,0.9423208,-1.4934053,-2.2067738,-1.7283579,-0.5882409,0.2465717,2.283331,-0.87348145,-0.6882814,-0.6439366,1.1940441,1.6134727,0.011977568,-0.12366769,-0.34879953,-2.5980368,3.732537,-0.8329863,-1.5728362,-1.1831145,-1.0974861,-0.63856804,-0.6013535,0.18594453,-0.68645066,-1.0303332,-0.23320653,-6.3772693
9,2.2791777,-5.267471,1.5272181,-0.56715447,-0.7464056,-0.025280809,0.10224944,3.1882026,-1.6269217,0.68365043,0.7631996,-0.42070207,-0.15476932,0.33170947,-1.1648364,1.8353076,2.3038542,1.0670033,0.5360608,-0.5335206,2.0523543,0.2897241,-0.921163,0.075155936,-0.56960374,-1.3931556,0.7001627,-2.748209,3.7820394,-0.039283425,-1.9184877,-0.35921466,-0.0790502,0.24035534,-0.5576283,-0.0268941,-0.99737555,-1.2061942,1.9329685,0.14668174,-0.17650725,0.024190037,-0.9450681,-0.4933105,-0.11283284,-1.8352275,0.59962267,-0.045505468,-0.0076063205,-5.7393904
10,2.2505038,-3.9551234,1.1889913,0.062264785,0.27104932,0.27793965,-1.708095,2.3805826,-2.0060906,-1.2934251,-0.5959291,-0.56379807,0.63748366,3.2878048,0.6310541,0.70957774,1.894413,0.84738886,0.2631478,-1.5716833,-1.3543844,-0.2785544,-2.680932,1.4340839,-0.04424881,-2.4629602,-0.3483654,-0.062824026,4.901702,0.21169835,0.07973424,-1.935334,1.5924376,1.608925,-0.3699591,0.3804411,-1.9685861,-0.56076586,1.56014,-0.3813903,-1.941708,-0.3465825,-0.24737461,-1.0071402,-2.1841934,-2.8862233,1.97441,-0.54103065,0.7712913,-3.5616765
11,1.1954511,-3.2105916,0.24686483,-0.36875758,-1.7456075,-0.59875053,0.7361234,0.14218052,-0.14979169,-0.8222269,0.58675486,0.77200025,2.3467388,1.7405728,1.6102351,1.7194449,0.79028463,-0.15471587,-1.3059875,-0.80457556,-1.3784015,-2.226249,-0.9582882,-0.18510818,-0.8414162,-0.85158163,0.27704787,0.19474494,3.6036053,-1.5986779,-1.1834884,-2.8987286,2.020328,1.2048184,1.1833932,-0.84003854,-0.26703924,1.45774,0.7852309,0.3188467,-0.6532074,0.113417715,-0.7002131,0.13736455,-2.7614658,-1.1416202,0.35757914,-1.166802,1.9569505,-3.4507604
